vehicleId,duration_sec,distance_km,avg_speed,max_speed,speed_std,mean_accel,max_accel,accel_std,count_hard_brakes,harsh_accel_count,idling_time,stop_count,day_of_week,hour_of_day
MAT804701M8D07306,2e-06,5.0359821616442195e-09,7.28290838860029,50.269529000000006,14.010154927839087,-1589741.2490981221,1040364537.0370368,202217664.11970457,21.0,23.0,1.6999999999999998e-06,5.0,3.0,0.0
MAT804701M8D07321,1e-06,1.7798152176607344e-09,9.591137058201058,24.718746,9.142277817796186,7007802.961326222,316248282.8282829,170267969.5308669,8.0,10.0,6.299999999999999e-07,2.0,3.0,0.0
MAT804701M8D07672,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35e-06,0.0,3.0,0.0
MAT804701M8D07676,2e-06,4.762539134571755e-09,11.31901476970763,46.9521475,11.36069104447915,-3833343.974395217,823343425.9259259,216226160.2002902,26.0,29.0,1.2699999999999997e-06,5.0,3.0,0.0
MAT804701M8G09127,2e-06,5.447461831123737e-09,7.629740138191618,42.11406,11.932730350564606,5924454.988734777,985667141.4141417,239989619.91765055,28.0,38.0,1.32e-06,9.0,3.0,0.0
MAT804701M8G09162,2e-06,2.5038121883978677e-09,3.5439745526334776,48.459374,10.334908830044263,8868946.610950781,1013411388.8888888,190033004.37483406,11.0,12.0,2.0100000000000002e-06,4.0,3.0,0.0
MAT804701M8G09194,0.0,2.1816994090909093e-10,1.45845138961039,9.761717,3.6651912317386417,-33894850.69444445,33894850.69444445,105627403.90407662,2.0,2.0,5e-08,1.0,3.0,0.0
MAT804701M8G09229,2e-06,7.821761031748036e-09,12.023223845572513,51.359374,15.759375466034417,11358792.799969597,1136783833.3333333,334505514.56418604,40.0,41.0,1.1599999999999997e-06,9.0,3.0,0.0
MAT804701M8G09704,1e-06,5.650698938050244e-09,14.306968795261247,48.640625,19.392292656691534,-2665118.1906684157,858109009.9715103,292026957.9800731,20.0,13.0,6.600000000000001e-07,4.0,3.0,0.0
MAT804701M8G09885,2e-06,4.026090868196131e-11,0.10065227170490328,9.23076923076923,0.8828160795140328,0.0,256410256.4102564,26347181.219779383,2.0,1.0,2.3299999999999993e-06,1.0,3.0,0.0
MAT804701M8H11084,2e-06,1.6218789350598322e-08,26.42737483421149,52.45442666666667,14.093015766851925,-27010697.502044983,658207833.3333333,309930280.4749908,29.0,31.0,1e-07,3.0,3.0,0.0
MAT804701M8H11317,1e-06,3.849282339856902e-09,18.49085446683219,52.02968500000001,14.455319893471298,-39688010.93758491,761002583.3333336,349785980.9413788,14.0,19.0,4.5000000000000003e-07,3.0,3.0,0.0
MAT804701M8H11342,0.0,6.452626700294613e-09,26.23650355982906,45.904687,12.93815276804202,-12389934.985539146,611501833.3333335,339546615.66693366,18.0,20.0,6e-08,1.0,3.0,0.0
MAT804701M8H11417,0.0,4.646069191919192e-11,16.470594696969698,32.685935,16.344462450942682,-302647546.2962963,0.0,262316162.18099314,2.0,0.0,1e-08,1.0,3.0,0.0
MAT804701M8H11708,0.0,5.279278250925925e-09,8.477260625,29.979161666666663,10.639778518501881,-17697960.609567903,177643925.9259259,141142912.65029052,3.0,3.0,6e-08,1.0,3.0,0.0
MAT804701M8J12490,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3499999999999995e-06,0.0,3.0,0.0
